ID,plate,treatment,line,symbiosis,well,temp,day,day_cat,tent_count
CC7-APO-1_B3.2,CC7-APO-1,CC7-APO-25C,CC7,Apo,B3,25C (ambient),0,day_0,0
CC7-APO-1_B3.2,CC7-APO-1,CC7-APO-25C,CC7,Apo,B3,25C (ambient),4,day_4,0
CC7-APO-1_B3.2,CC7-APO-1,CC7-APO-25C,CC7,Apo,B3,25C (ambient),5,day_5,0
CC7-APO-1_B3.2,CC7-APO-1,CC7-APO-25C,CC7,Apo,B3,25C (ambient),6,day_6,0
CC7-APO-1_B3.2,CC7-APO-1,CC7-APO-25C,CC7,Apo,B3,25C (ambient),7,day_7,1
CC7-APO-1_B3.2,CC7-APO-1,CC7-APO-25C,CC7,Apo,B3,25C (ambient),8,day_8,3
CC7-APO-1_B3.2,CC7-APO-1,CC7-APO-25C,CC7,Apo,B3,25C (ambient),9,day_9,5
CC7-APO-1_B3.2,CC7-APO-1,CC7-APO-25C,CC7,Apo,B3,25C (ambient),10,day_10,5
CC7-APO-1_B3.2,CC7-APO-1,CC7-APO-25C,CC7,Apo,B3,25C (ambient),11,day_11,5
CC7-APO-1_B3.2,CC7-APO-1,CC7-APO-25C,CC7,Apo,B3,25C (ambient),12,day_12,6
CC7-APO-1_B3.2,CC7-APO-1,CC7-APO-25C,CC7,Apo,B3,25C (ambient),13,day_13,7
CC7-APO-1_B3.2,CC7-APO-1,CC7-APO-25C,CC7,Apo,B3,25C (ambient),14,day_14,7
CC7-APO-1_B3.2,CC7-APO-1,CC7-APO-25C,CC7,Apo,B3,25C (ambient),17,day_17,7
CC7-APO-1_B3.2,CC7-APO-1,CC7-APO-25C,CC7,Apo,B3,25C (ambient),20,day_20,7
CC7-APO-1_B3.2,CC7-APO-1,CC7-APO-25C,CC7,Apo,B3,25C (ambient),21,day_21,7
CC7-APO-1_A4,CC7-APO-1,CC7-APO-25C,CC7,Apo,A4,25C (ambient),0,day_0,0
CC7-APO-1_A4,CC7-APO-1,CC7-APO-25C,CC7,Apo,A4,25C (ambient),4,day_4,0
CC7-APO-1_A4,CC7-APO-1,CC7-APO-25C,CC7,Apo,A4,25C (ambient),5,day_5,0
CC7-APO-1_A4,CC7-APO-1,CC7-APO-25C,CC7,Apo,A4,25C (ambient),6,day_6,0
CC7-APO-1_A4,CC7-APO-1,CC7-APO-25C,CC7,Apo,A4,25C (ambient),7,day_7,3
CC7-APO-1_A4,CC7-APO-1,CC7-APO-25C,CC7,Apo,A4,25C (ambient),8,day_8,6
CC7-APO-1_A4,CC7-APO-1,CC7-APO-25C,CC7,Apo,A4,25C (ambient),9,day_9,6
CC7-APO-1_A4,CC7-APO-1,CC7-APO-25C,CC7,Apo,A4,25C (ambient),10,day_10,8
